ID,Text,Comment
Cordial.CutterTool.DisplayName,Konfigurierbaren Fällbereich markieren,-
Cordial.CutterTool.Description,"Verwende dieses Werkzeug, um einen konfigurierbaren Bereich für das Fällen von Bäumen zu markieren.",-
Cordial.CutterTool.CutterToolPanel.Title,Fällbereich Konfiguration (Cutter Tool),-
Cordial.CutterTool.CutterToolPanel.Description,Konfiguriere die Baumarten und/oder den Auswahlbereich für das Fällen,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern01,Alle,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern02,Schachbrettmuster,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern03,Reihen X,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern04,Reihen Y,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeAll,Alle Baumarten,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeMark,Nur Bäume markieren,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.IgnoreStump,Ignoriere Baumstümpfe,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.ClearCut,Aktuelle Konfiguration anwenden,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.IgnoreDeadSapling,Ignoriere eingegangene Setzlinge,-
